,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc,predict_duration
27,openml.org/t/14965,bank-marketing,autoPyTorch,3600s8c32G,8,0.917275,acc,singularity,reproduce,,stable,2021-03-09T12:36:18,5708.1,1.0,1590456204,,0.917275,0.494091
28,openml.org/t/14965,bank-marketing,autoPyTorch,3600s8c32G,9,0.911082,acc,singularity,reproduce,,stable,2021-03-09T12:23:53,4960.8,1.0,3936257745,,0.911082,0.46288999999999997
29,openml.org/t/146195,connect-4,autoPyTorch,3600s8c32G,0,0.8617530000000001,acc,singularity,reproduce,,stable,2021-03-09T12:45:14,6239.5,1.0,901051677,,0.8617530000000001,0.476217
30,openml.org/t/146195,connect-4,autoPyTorch,3600s8c32G,1,0.857756,acc,singularity,reproduce,,stable,2021-03-09T12:46:15,6296.6,1.0,1709706620,,0.857756,0.47627600000000003
31,openml.org/t/146195,connect-4,autoPyTorch,3600s8c32G,5,0.853316,acc,singularity,reproduce,,stable,2021-03-09T12:47:33,6356.3,1.0,3037184232,,0.853316,0.48343
32,openml.org/t/146195,connect-4,autoPyTorch,3600s8c32G,6,0.855092,acc,singularity,reproduce,,stable,2021-03-09T12:43:38,6121.5,1.0,621850321,,0.855092,0.48472
33,openml.org/t/146195,connect-4,autoPyTorch,3600s8c32G,7,0.8624719999999999,acc,singularity,reproduce,,stable,2021-03-09T12:44:00,6143.4,1.0,4213063887,,0.8624719999999999,0.49494
34,openml.org/t/146195,connect-4,autoPyTorch,3600s8c32G,8,0.862324,acc,singularity,reproduce,,stable,2021-03-09T12:43:10,6084.4,1.0,1237623361,,0.862324,0.47380200000000006
35,openml.org/t/146606,higgs,autoPyTorch,3600s8c32G,0,0.7404390000000001,acc,singularity,reproduce,,stable,2021-03-09T14:07:49,6550.5,1.0,3092237421,,0.7404390000000001,1.26637
36,openml.org/t/146606,higgs,autoPyTorch,3600s8c32G,7,0.727078,acc,singularity,reproduce,,stable,2021-03-09T14:16:26,6932.2,1.0,2061164812,,0.727078,1.2495
37,openml.org/t/146606,higgs,autoPyTorch,3600s8c32G,8,,acc,singularity,reproduce,,stable,2021-03-09T14:20:56,7201.0,,733808497,TimeoutError: Interrupting thread current after 7200s timeout.,,
38,openml.org/t/146606,higgs,autoPyTorch,3600s8c32G,9,0.738297,acc,singularity,reproduce,,stable,2021-03-09T14:16:47,6937.7,1.0,3080747705,,0.738297,1.24651
39,openml.org/t/168330,Jannis,autoPyTorch,3600s8c32G,0,0.72331,acc,singularity,reproduce,,stable,2021-03-09T14:20:18,7148.0,1.0,867241797,,0.72331,0.626395
