,task,result,result,result_STD,result_STD
framework,,AutoPyTorch_refactor,autoPyTorch,AutoPyTorch_refactor,autoPyTorch
0,APSFailure,0.99342540877,0.994868,0.0009566559054586447,
1,Amazon_employee_access,0.9485895719299999,0.9499525555555555,0.0024827761178559202,0.0028696670686627086
2,Australian,0.8599032212566667,0.8567447692307694,0.02197389149435953,0.036278630179550846
3,Fashion-MNIST,0.4069489224499999,,0.27966454337617713,
4,Helena,0.266591573162069,,0.04873661242298858,
5,Jannis,0.70403142865,0.7238396,0.005525515925228604,0.008125852189155288
6,KDDCup09_appetency,0.9821999999999997,,0.0,
7,MiniBooNE,0.8990522637966668,,0.01294109775228965,
8,Robert,0.09910000000000005,,0.0003051285766293647,
9,Shuttle,0.9997413758533333,0.9998152857142858,0.000206284800174399,0.00024816880996965846
10,Volkert,0.5879810092517243,0.7274909333333333,0.04725342316636762,0.0036615236381021764
11,adult,0.8719749117233333,0.8728447894736844,0.003188657511970052,0.004120788430209612
12,bank-marketing,0.9058563201933336,0.9083851500000002,0.00411011004689718,0.004798301884658343
13,blood-transfusion,0.7830030696700003,0.7759532972972976,0.02568812645351197,0.02906643925452404
14,car,0.9967245088666663,0.9909271621621617,0.004961603132557025,0.008248037205950931
15,christine,0.7255994779833335,0.7429664864864864,0.018058976950875265,0.016941904731269813
16,cnae-9,0.9540122938266663,0.9533844482758616,0.02313005511771992,0.023798045378299205
17,connect-4,0.7354737358766668,0.859472909090909,0.0675573794212506,0.004374085080437878
18,credit-g,0.7490000000000001,0.7482051282051281,0.03220087812038889,0.029724329470706832
19,dilbert,0.976793103448276,0.9929999999999999,0.004916294411334222,0.0024913643956122355
20,fabert,0.6935906937631579,0.724383947368421,0.011162858176299983,0.010846918548470561
21,guillermo,0.5998499999999999,,0.0002330457998497015,
22,higgs,0.7263330735434784,0.7335442000000001,0.006469269580783728,0.006399761534619867
23,jasmine,0.8092022109133336,0.8183287575757574,0.016799621762290114,0.016204090102946024
24,jungle_chess_2pcs_raw_endgame_complete,0.8691254134699999,0.8805187499999999,0.005078120584657802,0.004912617109715225
25,kc1,0.8619958573275862,0.8599846388888887,0.01384039137162482,0.01757226175401417
26,kr-vs-kp,0.9935341555933331,0.9929396666666668,0.005440607270618702,0.00511176726229386
27,mfeat-factors,0.9809999999999997,0.9818918918918919,0.007474093186836603,0.006703165851478878
28,nomao,0.9699247234241376,0.9721455999999999,0.002736151828839524,0.0026647973241782103
29,phoneme,0.8971182175399998,0.9153640263157893,0.016130857102518794,0.014152761286276112
30,riccardo,0.75,,0.0,
31,segment,0.9776334929299999,0.9788359999999999,0.011429927324821404,0.012622273761659817
32,sylvine,0.94216756142,0.9473086923076925,0.008141569106864512,0.007628231940260671
33,vehicle,0.8234734111099999,0.835051918918919,0.029741832974446727,0.036650340814224344
