tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
autosklearn,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
autosklearn_constantlier,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
