,hue,performance,model,dataset_name,level,repeat,seed
0,test_performance_singlemodelTrue,0.927845674418749,HistGradientBoostingClassifier1,168335,0,5,9
1,test_performance_singlemodelTrue,0.8588189510209658,HistGradientBoostingClassifier2,168335,0,5,9
2,test_performance_singlemodelTrue,0.9284867008147354,HistGradientBoostingClassifier3,168335,0,5,9
3,test_performance_singlemodelTrue,0.9280576720736655,XGBClassifier1,168335,0,5,9
4,test_performance_singlemodelTrue,0.9193150366565588,XGBClassifier2,168335,0,5,9
5,test_performance_singlemodelTrue,0.8860236467141078,XGBClassifier3,168335,0,5,9
6,test_performance_singlemodelTrue,0.9069495692439087,LGBMClassifier1,168335,0,5,9
7,test_performance_singlemodelTrue,0.9283422922801073,LGBMClassifier2,168335,0,5,9
8,test_performance_singlemodelTrue,0.9160183822217376,LGBMClassifier3,168335,0,5,9
9,test_performance_singlemodelTrue,0.9020102729854558,MLPClassifier1,168335,0,5,9
10,test_performance_singlemodelTrue,0.5,MLPClassifier2,168335,0,5,9
11,test_performance_singlemodelTrue,0.5,MLPClassifier3,168335,0,5,9
12,test_performance_singlemodelTrue,0.8586270310081985,MLPClassifier4,168335,0,5,9
13,test_performance_singlemodelTrue,0.865641372146444,MLPClassifier5,168335,0,5,9
14,test_performance_singlemodelTrue,0.9287402558239324,HistGradientBoostingClassifier1,168335,1,5,9
15,test_performance_singlemodelTrue,0.8617776598543452,HistGradientBoostingClassifier2,168335,1,5,9
16,test_performance_singlemodelTrue,0.9286172568979366,HistGradientBoostingClassifier3,168335,1,5,9
17,test_performance_singlemodelTrue,0.9284921595405338,XGBClassifier1,168335,1,5,9
18,test_performance_singlemodelTrue,0.9220457969521878,XGBClassifier2,168335,1,5,9
19,test_performance_singlemodelTrue,0.8904822900147362,XGBClassifier3,168335,1,5,9
20,test_performance_singlemodelTrue,0.908448653122035,LGBMClassifier1,168335,1,5,9
21,test_performance_singlemodelTrue,0.9285861917006917,LGBMClassifier2,168335,1,5,9
22,test_performance_singlemodelTrue,0.9169578812755927,LGBMClassifier3,168335,1,5,9
23,test_performance_singlemodelTrue,0.8997463272169246,MLPClassifier1,168335,1,5,9
24,test_performance_singlemodelTrue,0.5,MLPClassifier2,168335,1,5,9
25,test_performance_singlemodelTrue,0.5,MLPClassifier3,168335,1,5,9
26,test_performance_singlemodelTrue,0.8568546556490886,MLPClassifier4,168335,1,5,9
27,test_performance_singlemodelTrue,0.8658008949954832,MLPClassifier5,168335,1,5,9
28,test_performance_singlemodelTrue,0.928545470914834,HistGradientBoostingClassifier1,168335,2,5,9
29,test_performance_singlemodelTrue,0.8619959528034828,HistGradientBoostingClassifier2,168335,2,5,9
30,test_performance_singlemodelTrue,0.9288044846498293,HistGradientBoostingClassifier3,168335,2,5,9
31,test_performance_singlemodelTrue,0.928733960529711,XGBClassifier1,168335,2,5,9
32,test_performance_singlemodelTrue,0.9217825863543783,XGBClassifier2,168335,2,5,9
33,test_performance_singlemodelTrue,0.8903613895201475,XGBClassifier3,168335,2,5,9
34,test_performance_singlemodelTrue,0.9083823258647308,LGBMClassifier1,168335,2,5,9
35,test_performance_singlemodelTrue,0.9286428633693832,LGBMClassifier2,168335,2,5,9
36,test_performance_singlemodelTrue,0.9171644202047108,LGBMClassifier3,168335,2,5,9
37,test_performance_singlemodelTrue,0.8998533752600864,MLPClassifier1,168335,2,5,9
38,test_performance_singlemodelTrue,0.5,MLPClassifier2,168335,2,5,9
39,test_performance_singlemodelTrue,0.5,MLPClassifier3,168335,2,5,9
40,test_performance_singlemodelTrue,0.8577244671512483,MLPClassifier4,168335,2,5,9
41,test_performance_singlemodelTrue,0.8664645788423864,MLPClassifier5,168335,2,5,9
42,test_performance_singlemodelTrue,0.9288279926898688,HistGradientBoostingClassifier1,168335,3,5,9
43,test_performance_singlemodelTrue,0.8619959528034828,HistGradientBoostingClassifier2,168335,3,5,9
44,test_performance_singlemodelTrue,0.9290538427962121,HistGradientBoostingClassifier3,168335,3,5,9
45,test_performance_singlemodelTrue,0.9286462236637745,XGBClassifier1,168335,3,5,9
46,test_performance_singlemodelTrue,0.9219870268520891,XGBClassifier2,168335,3,5,9
47,test_performance_singlemodelTrue,0.8903827991287799,XGBClassifier3,168335,3,5,9
48,test_performance_singlemodelTrue,0.9083609162560985,LGBMClassifier1,168335,3,5,9
49,test_performance_singlemodelTrue,0.9287285018039126,LGBMClassifier2,168335,3,5,9
50,test_performance_singlemodelTrue,0.9171312565760588,LGBMClassifier3,168335,3,5,9
51,test_performance_singlemodelTrue,0.9001871099780143,MLPClassifier1,168335,3,5,9
52,test_performance_singlemodelTrue,0.5,MLPClassifier2,168335,3,5,9
53,test_performance_singlemodelTrue,0.5,MLPClassifier3,168335,3,5,9
54,test_performance_singlemodelTrue,0.8589380942545097,MLPClassifier4,168335,3,5,9
55,test_performance_singlemodelTrue,0.8579935757901174,MLPClassifier5,168335,3,5,9
56,test_performance_singlemodelTrue,0.9287402558239324,HistGradientBoostingClassifier1,168335,4,5,9
57,test_performance_singlemodelTrue,0.8620505260407674,HistGradientBoostingClassifier2,168335,4,5,9
58,test_performance_singlemodelTrue,0.9290773508362515,HistGradientBoostingClassifier3,168335,4,5,9
59,test_performance_singlemodelTrue,0.9287222065096913,XGBClassifier1,168335,4,5,9
60,test_performance_singlemodelTrue,0.9220726652866185,XGBClassifier2,168335,4,5,9
61,test_performance_singlemodelTrue,0.8903827991287799,XGBClassifier3,168335,4,5,9
62,test_performance_singlemodelTrue,0.9083609162560985,LGBMClassifier1,168335,4,5,9
