,single_model,dataset_name,model,level,repeat,iteration,seed,performance
0,True,7592,HistGradientBoostingClassifier,0,1,0,88,0.8012424379634815
1,True,7592,HistGradientBoostingClassifier,0,1,1,88,0.7916029052152382
2,True,7592,HistGradientBoostingClassifier,0,1,2,88,0.7992243870833888
3,True,7592,HistGradientBoostingClassifier,0,1,3,88,0.7959453559649357
4,True,7592,HistGradientBoostingClassifier,0,1,4,88,0.7991392901418577
5,True,7592,RandomForestClassifier,0,1,0,88,0.7775349577858858
6,True,7592,RandomForestClassifier,0,1,1,88,0.7584031674834465
7,True,7592,RandomForestClassifier,0,1,2,88,0.7759986705652563
8,True,7592,RandomForestClassifier,0,1,3,88,0.7684667336736759
9,True,7592,RandomForestClassifier,0,1,4,88,0.7759453883828181
10,True,7592,DecisionTreeClassifier,0,1,0,88,0.7456596413345794
11,True,7592,DecisionTreeClassifier,0,1,1,88,0.7207321744618858
12,True,7592,DecisionTreeClassifier,0,1,2,88,0.7616117085550942
13,True,7592,DecisionTreeClassifier,0,1,3,88,0.740555181870352
14,True,7592,DecisionTreeClassifier,0,1,4,88,0.765128332596015
15,True,7592,LinearDiscriminantAnalysis,0,1,0,88,0.7006057205952466
16,True,7592,LinearDiscriminantAnalysis,0,1,1,88,0.700058103400078
17,True,7592,LinearDiscriminantAnalysis,0,1,2,88,0.701063792813845
18,True,7592,LinearDiscriminantAnalysis,0,1,3,88,0.7007996059191736
19,True,7592,LinearDiscriminantAnalysis,0,1,4,88,0.7008506640840924
20,True,7592,XGBClassifier,0,1,0,88,0.7969295779553573
21,True,7592,XGBClassifier,0,1,1,88,0.7913024555264347
22,True,7592,XGBClassifier,0,1,2,88,0.7994419638481806
23,True,7592,XGBClassifier,0,1,3,88,0.7971153399610563
24,True,7592,XGBClassifier,0,1,4,88,0.8009656797155429
25,True,7592,GradientBoostingClassifier,0,1,0,88,0.7782824538437205
26,True,7592,GradientBoostingClassifier,0,1,1,88,0.7743447931301832
27,True,7592,GradientBoostingClassifier,0,1,2,88,0.7789514307745522
28,True,7592,GradientBoostingClassifier,0,1,3,88,0.776091985063046
