,task,fold,framework,seed,search_improvement_opt,search_improvement_test,intensify_improvement_opt,intensify_improvement_test
0,Albert,4,autosklearn,0,0.0017706453671599842,0.00015500495535403225,0,0
1,higgs,3,autosklearn,0,-0.011028868457937935,-0.0118676141661741,0,0
2,connect-4,4,autosklearn,0,0.06049143903213544,0.06965409017306756,0,0
3,cnae-9,3,autosklearn,0,0.14004923778334383,0.07227718808445924,0,0
4,segment,4,autosklearn,0,-0.0007307024653716715,0.011420448069930469,0,0
5,vehicle,1,autosklearn,0,0.018566434201893633,0.030865576763033142,0,0
6,cnae-9,0,autosklearn,0,0.14228074966923168,0.2015591582609004,0,0
7,MiniBooNE,3,autosklearn,0,0.0007422204740554963,0.0011114819906273832,0,0
8,higgs,4,autosklearn,0,-0.02434921467943532,-0.01014245970896599,0,0
9,Albert,1,autosklearn,0,0.015816573388513167,0.016581022097855502,0,0
10,Albert,2,autosklearn,0,-0.03654341824973578,-0.03976386259726872,0,0
11,segment,3,autosklearn,0,0.003520115171443239,0.017535438160935987,0,0
12,connect-4,2,autosklearn,0,0.036544754405477275,0.03291123916135141,0,0
13,kr-vs-kp,1,autosklearn,0,6.047255748365831e-05,0.00023482446870970453,0,0
14,Australian,1,autosklearn,0,0.0029232334446575303,0.033531409168081616,0,0
15,Albert,0,autosklearn,0,0.016204366235909817,0.013944440309907269,0,0
16,segment,2,autosklearn,0,0.0043516481092341075,0.013917661630491195,0,0
17,kr-vs-kp,3,autosklearn,0,5.807070269399616e-05,0.0,0,0
18,segment,0,autosklearn,0,0.005928460091937107,0.01287801250103767,0,0
19,Albert,3,autosklearn,0,0.004573271382488836,0.005803643584326279,0,0
20,MiniBooNE,0,autosklearn,0,0.0005776195710779659,0.0010491595918959984,0,0
21,adult,4,autosklearn,0,1.4479052787993996e-05,0.0003667959361222106,0,0
22,segment,1,autosklearn,0,0.005547656445684002,0.033163996289517085,0,0
23,cnae-9,1,autosklearn,0,0.08531822707940157,0.08176730699856588,0,0
24,vehicle,0,autosklearn,0,0.06434623238677972,0.09200900403644907,0,0
25,connect-4,1,autosklearn,0,0.09922446632495552,0.11109481029800627,0,0
26,vehicle,3,autosklearn,0,0.03562097407769721,-0.029540677719345432,0,0
27,Australian,4,autosklearn,0,-0.0001761471043134344,0.03056027164685915,0,0
28,MiniBooNE,4,autosklearn,0,0.0005878153962616886,0.0008617550538542185,0,0
29,cnae-9,4,autosklearn,0,0.14127229116490883,0.2479823990892,0,0
30,Australian,0,autosklearn,0,0.002560410720461065,0.03310696095076393,0,0
31,higgs,1,autosklearn,0,-0.011373866747198591,-0.0047199732046394605,0,0
32,MiniBooNE,1,autosklearn,0,0.0001724801088358631,-0.00041485313903155685,0,0
