,task,fold,framework,seed,search_improvement_opt,search_improvement_test,intensify_improvement_opt,intensify_improvement_test
20,Australian,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.001480781348456195,-0.002546689303904892,-0.002525146444491115,-0.0005069798151292187
21,vehicle,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.06431043712211809,0.10515375197212912,0.14075963333138405,0.1700502874031579
22,kr-vs-kp,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,1.0172426524057715e-05,0.00023482446870970453,-0.0003534425097609349,0.0002652646776164626
23,MiniBooNE,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.00032737374550521545,-0.0001554619572775584,0.011555295006136891,0.011438279827340248
24,vehicle,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.17692462263164366,0.07495638663033732,0.10024912384828735,0.10304470519503946
25,Australian,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.0045683679899181096,0.017826825127334467,0.0010267621579807518,-0.00017081452648143991
26,adult,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-8.023206830187757e-05,0.0009041197936281442,0.0058571375016698,0.005249114391479256
27,Albert,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,3.3493060235256777e-06,-0.0006340020875051922,0.04936454699032336,0.05464377756067018
28,cnae-9,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.20222471801507738,0.23701678884921512,-0.0065096182214771535,-0.12771802109275796
29,kr-vs-kp,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-7.277123301641905e-06,0.0,-0.0002859432076113366,6.522901908593652e-06
30,Albert,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.005967525349671404,0.0047566304410138205,0.056432332720584455,0.053944138898172254
31,vehicle,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.12577117082515582,0.11998446471431312,0.22501120514864612,0.0758122456923471
32,MiniBooNE,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.005172781477310522,-0.005344383590923818,0.005384450587427008,0.005947591064341173
33,cnae-9,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.17803776699444568,0.22660783799090964,0.12265039266200047,0.05787836223144619
34,connect-4,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.0003641684042242632,-0.0018131048790233084,0.07935439587905113,0.0894290153343576
35,connect-4,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.014349612635393583,-0.010521026684782941,0.14725465153566575,0.15688071711807705
36,vehicle,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.11532280584072713,0.1763265448852187,0.1692635857474567,0.17078066142966356
37,kr-vs-kp,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-1.501785346520127e-06,0.0002348244687095935,-3.810182071225627e-05,-1.739440508958307e-05
38,Australian,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.00819155639571515,0.01697792869269943,-0.005462398966914799,-0.009188517889706349
39,adult,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.0008975253082043888,0.0013055585251486868,0.007245337038436051,0.006894530962000721
40,kr-vs-kp,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,5.960495211119343e-05,0.0,-0.00032484767989180373,0.0
41,kr-vs-kp,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,7.195302018537641e-05,0.00027396188016126644,-0.00015514350060610017,3.9137411451598915e-05
42,segment,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.005862724338830977,0.004637838672953198,0.017343934178067257,0.019793144955762013
43,segment,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.004750234353916069,0.01488889215029126,0.012070809645890057,-0.003994666700834178
44,Albert,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.0026604511490527782,0.0017019864179173005,0.025101991889967507,0.024735270339649174
45,MiniBooNE,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.0002025771400433092,0.0005952030638551875,0.009557496053429962,0.008703838833051212
46,adult,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,0.00025775226092333847,0.00036276394561829406,0.010693365186317721,0.010600009434857817
