,Timestamp,ensemble_optimization_score,ensemble_test_score,fold,tool,task
21,2020-11-16 17:42:46.837836,0.9351851851851852,0.9351851851851852,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
22,2020-11-16 17:43:11.357465,0.9341563786008228,0.9351851851851852,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
23,2020-11-16 17:43:49.986683,0.9341563786008232,0.9351851851851852,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
24,2020-11-16 17:44:40.677029,0.9516460905349794,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
25,2020-11-16 17:45:54.969790,0.9516460905349794,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
26,2020-11-16 17:47:31.218486,0.9547325102880656,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
27,2020-11-16 17:49:16.851621,0.9588477366255144,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
28,2020-11-16 17:51:35.087447,0.9609053497942386,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
29,2020-11-16 17:54:06.008278,0.9578189300411524,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
30,2020-11-16 17:57:28.423964,0.9578189300411524,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
31,2020-11-16 18:03:02.137284,0.9598765432098766,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
32,2020-11-16 18:07:05.987696,0.9650205761316872,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
33,2020-11-16 18:11:26.101113,0.9650205761316872,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
34,2020-11-16 18:17:37.965840,0.9660493827160496,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
35,2020-11-16 18:24:24.837727,0.9639917695473249,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
36,2020-11-16 18:31:18.445949,0.9639917695473249,0.9722222222222222,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
37,2020-11-16 18:38:04.844737,0.9660493827160496,0.9629629629629628,2,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
38,2020-11-16 17:42:13.392443,0.1111111111111111,0.1111111111111111,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
39,2020-11-16 17:42:25.920109,0.9259259259259259,0.8796296296296297,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
40,2020-11-16 17:42:48.357345,0.9279835390946504,0.8888888888888888,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
41,2020-11-16 17:43:12.495223,0.92798353909465,0.8888888888888888,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
42,2020-11-16 17:43:52.404142,0.9310699588477368,0.8888888888888888,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
43,2020-11-16 17:44:39.945204,0.9495884773662552,0.9351851851851852,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
44,2020-11-16 17:45:50.702585,0.9495884773662552,0.9444444444444444,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
45,2020-11-16 17:47:24.672333,0.955761316872428,0.9444444444444444,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
46,2020-11-16 17:49:06.418421,0.9588477366255144,0.9351851851851852,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
47,2020-11-16 17:51:20.082831,0.9588477366255144,0.9444444444444444,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
48,2020-11-16 17:53:41.291103,0.9598765432098764,0.9444444444444444,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
49,2020-11-16 17:56:32.647550,0.9578189300411524,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
50,2020-11-16 17:59:46.633136,0.9588477366255144,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
51,2020-11-16 18:03:55.661633,0.9537037037037036,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
52,2020-11-16 18:08:44.865011,0.9650205761316872,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
53,2020-11-16 18:15:00.714041,0.9619341563786008,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
54,2020-11-16 18:21:28.795237,0.9629629629629628,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
55,2020-11-16 18:27:56.782938,0.9619341563786008,0.9259259259259258,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
56,2020-11-16 18:34:27.258614,0.9650205761316872,0.9351851851851852,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
57,2020-11-16 18:40:57.671730,0.9639917695473249,0.9351851851851852,3,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
58,2020-11-16 17:42:20.953628,0.1111111111111111,0.1111111111111111,4,autosklearnBBCEnsembleSelectionPreSelectInES_B_50_Nb_100,cnae-9
