tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
autosklearnEnsembleIntensification_loglosstiebreakstack,2.53,1.89,2.11,2.075,1.525,1.715,1.555,1.715,2.33,2.045
autosklearnEnsembleIntensification_maxintancefix,1.36,2.56,2.005,2.27,1.535,2.17,2.285,2.31,2.22,1.615
autosklearnEnsembleIntensification_stack_based_on_log_loss,2.11,1.55,1.885,1.655,2.94,2.115,2.16,1.975,1.45,2.34
