,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,0,78,78,16,3568.9431886672974,3478.080531835556,1,17,2,10.0,0.2
1,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,1,78,78,16,3567.8038201332092,3470.016231060028,1,17,2,10.0,0.2
2,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,2,77,77,16,3567.543202161789,3466.030834913254,1,17,2,10.0,0.2
3,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,3,78,78,16,3568.8158032894135,3478.7758452892303,1,17,2,10.0,0.2
4,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,4,100,100,18,3568.018585205078,3432.4118959903717,3,22,3,9.0,0.2
5,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,0,36,36,12,3563.043684720993,3442.390894174576,2,11,1,11.0,0.2
6,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,1,36,36,12,3563.930558681488,3455.4690492153168,2,11,1,11.0,0.2
7,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,2,46,46,12,3564.037784099579,3446.0586795806885,2,11,1,11.0,0.2
8,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,3,36,36,12,3563.403772354126,3450.4902052879333,2,11,1,11.0,0.2
9,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,4,46,46,12,3565.490377187729,3447.012959957123,2,11,1,11.0,0.2
10,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,0,21,21,8,3567.9319870471954,3538.9249935150146,2,0,0,0.0,0.2
11,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,1,22,22,8,3569.3150231838226,3541.861904859543,2,0,0,0.0,0.2
12,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,2,22,22,8,3567.667252063751,3540.810025691986,2,0,0,0.0,0.2
13,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,3,21,21,8,3566.8435051441193,3535.699306488037,2,0,0,0.0,0.2
14,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,4,21,21,8,3564.5071597099304,3532.429450273514,2,0,0,0.0,0.2
15,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,0,135,135,20,3568.6614961624146,3411.496800661087,2,22,3,9.0,0.2
16,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,1,135,135,20,3566.6096992492676,3390.8985090255737,4,22,3,9.0,0.2
17,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,2,135,135,20,3568.3291432857513,3406.212429046631,4,22,3,9.0,0.2
18,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,3,135,135,20,3567.521307706833,3401.1936576366425,6,22,3,9.0,0.2
