repeat,dataset_name,hue,model,0,1,2,3
1,3,test_performance_singlemodelFalse,DecisionTreeClassifier,0.9964617788513123,0.9945728250250111,0.9935648274655028,0.9935461687318168
1,3,test_performance_singlemodelFalse,GradientBoostingClassifier,0.9781763396138375,0.9954791664327796,0.994481161225098,0.9941336896346396
1,3,test_performance_singlemodelFalse,HistGradientBoostingClassifier,0.9947406155541655,0.9954539011930728,0.9944153968750757,0.9946924174484147
1,3,test_performance_singlemodelFalse,LGBMClassifier,0.9872473334557446,0.9959021798779425,0.995620691109762,0.9956402291731344
1,3,test_performance_singlemodelFalse,LinearDiscriminantAnalysis,0.9417469569337834,0.9954457536855832,0.9952082239943719,0.9954626769205804
1,3,test_performance_singlemodelFalse,MLPClassifier,0.989364157971411,0.9966136011816934,0.9963906930159719,0.9951382010596627
1,3,test_performance_singlemodelFalse,RandomForestClassifier,0.9949231626168042,0.9955312540854139,0.9952992128869055,0.994294948785909
1,3,test_performance_singlemodelFalse,XGBClassifier,0.9932835448104689,0.9961230967296617,0.9946994131414038,0.9945423103084603
1,3,test_performance_singlemodelTrue,DecisionTreeClassifier,0.9964617788513123,0.9922641922133824,0.9911258138295617,0.9906786326616597
1,3,test_performance_singlemodelTrue,GradientBoostingClassifier,0.9781763396138375,0.9897537288432352,0.9882722609961035,0.9873154561455334
1,3,test_performance_singlemodelTrue,HistGradientBoostingClassifier,0.9947406155541655,0.9934239289122433,0.992377486860269,0.9908868989418217
1,3,test_performance_singlemodelTrue,LGBMClassifier,0.9872473334557444,0.988559860720809,0.9886278229192882,0.9873175990858005
1,3,test_performance_singlemodelTrue,LinearDiscriminantAnalysis,0.9417469569337834,0.9456961650640441,0.946987809484433,0.9467333565582244
1,3,test_performance_singlemodelTrue,MLPClassifier,0.9886960566904075,0.9901769711848849,0.9905842068952062,0.9902680357303618
1,3,test_performance_singlemodelTrue,RandomForestClassifier,0.9949231626168042,0.9948709379700034,0.9941350581010403,0.9926311308522623
1,3,test_performance_singlemodelTrue,XGBClassifier,0.9932835448104689,0.9930933240777909,0.9925085825495469,0.9909487938460566
1,53,test_performance_singlemodelFalse,DecisionTreeClassifier,0.6922734331847411,0.7562330793612146,0.7628661767480601,0.7530575304910155
1,53,test_performance_singlemodelFalse,GradientBoostingClassifier,0.7684043304233931,0.7795437130702969,0.7794232640424165,0.773769621554269
1,53,test_performance_singlemodelFalse,HistGradientBoostingClassifier,0.7694009975197772,0.8236000067170025,0.7977517211935856,0.7938879995947495
1,53,test_performance_singlemodelFalse,LGBMClassifier,0.7622673893424488,0.7858425066648634,0.7819683868081103,0.775319780963484
1,53,test_performance_singlemodelFalse,LinearDiscriminantAnalysis,0.7925676349443678,0.8131052313177418,0.8275564155289317,0.8229148680490784
1,53,test_performance_singlemodelFalse,MLPClassifier,0.587572508894213,0.7433233591056965,0.7476110908574569,0.7612401331459464
1,53,test_performance_singlemodelFalse,RandomForestClassifier,0.751226312517128,0.7872537411916805,0.7852600583063639,0.7822566348476736
1,53,test_performance_singlemodelFalse,XGBClassifier,0.7655168704411821,0.7859010035763685,0.7845330648754321,0.7775631055984749
1,53,test_performance_singlemodelTrue,DecisionTreeClassifier,0.6922734331847411,0.6985819676059599,0.6915012387152227,0.6918977284121831
1,53,test_performance_singlemodelTrue,GradientBoostingClassifier,0.7658668192574798,0.7731256972651815,0.7679557449061133,0.7544328163005333
1,53,test_performance_singlemodelTrue,HistGradientBoostingClassifier,0.7694009975197772,0.7722653370692182,0.7633447935176374,0.7640043129044692
1,53,test_performance_singlemodelTrue,LGBMClassifier,0.7622673893424486,0.7590658660051904,0.7538215502170277,0.76019637724873
1,53,test_performance_singlemodelTrue,LinearDiscriminantAnalysis,0.7925676349443678,0.8061273991997462,0.8010715105542691,0.8021703870163417
1,53,test_performance_singlemodelTrue,MLPClassifier,0.6032494474469176,0.6233902937248696,0.6038861694873686,0.6202519805658739
1,53,test_performance_singlemodelTrue,RandomForestClassifier,0.751226312517128,0.7646375956362885,0.7667697418275404,0.7674827355692048
1,53,test_performance_singlemodelTrue,XGBClassifier,0.7655168704411821,0.7710224595527407,0.7693940567107164,0.7658274233944097
1,7592,test_performance_singlemodelFalse,DecisionTreeClassifier,0.7649751322244972,0.7782291332067985,0.7775316079290645,0.7779541594243049
1,7592,test_performance_singlemodelFalse,GradientBoostingClassifier,0.7757343831116171,0.7963839525634332,0.7949213151199152,0.7935005755999518
1,7592,test_performance_singlemodelFalse,HistGradientBoostingClassifier,0.7955268720803339,0.7967516936272195,0.7984288360797247,0.7959899452249999
1,7592,test_performance_singlemodelFalse,LGBMClassifier,0.77407981560649,0.7921570220356339,0.7909633258221086,0.7892146754372813
1,7592,test_performance_singlemodelFalse,LinearDiscriminantAnalysis,0.7022134202935317,0.8034033776315713,0.8038878208815585,0.8050986066312623
1,7592,test_performance_singlemodelFalse,MLPClassifier,0.6143146278028133,0.679530944419577,0.7521526467776979,0.7589904034678139
1,7592,test_performance_singlemodelFalse,RandomForestClassifier,0.7750878793836207,0.7898000767971307,0.7897842216219786,0.787490910212632
1,7592,test_performance_singlemodelFalse,XGBClassifier,0.7927691715912221,0.7959316094561024,0.7955899122665907,0.7933433400358278
1,7592,test_performance_singlemodelTrue,DecisionTreeClassifier,0.7649751322244972,0.7618302424253556,0.7615292867031186,0.7605101348916914
1,7592,test_performance_singlemodelTrue,GradientBoostingClassifier,0.7757302142910597,0.7916410150480864,0.7916260577923878,0.7920457415941873
