,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,0,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,27
1,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,0,0.9531262238867992,inf,0.9530589432776648,0.0,27
2,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,1,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,27
3,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,1,0.952883431519686,inf,0.9476259611004968,0.005698005698005604,27
4,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,2,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,27
5,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,2,0.9526405083027686,inf,0.9444513579258936,0.009137632393446338,27
6,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,3,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,27
7,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,3,0.9512665751426188,inf,0.9476259611004968,0.005963029218843174,27
8,autosklearn,20,5,5,1,cv,1.0,1468,best_individual_model,4,0.9962078668377758,0.931505043695671,0.9113540843837262,0.01411784455262699,27
9,autosklearn,20,5,5,1,cv,1.0,1468,best_ensemble_model,4,0.9527882716969952,inf,0.955907946126668,0.0,27
