,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetFastAI_BAG_L1,0.896104,0.883069,103.757464,85.699004,14313.651197,13.435541,12.603926,607.646654,1,True,16
1,ExtraTreesEntr_BAG_L1,0.871753,0.876868,100.450897,81.689470,13751.714088,10.128974,8.594392,45.709545,1,True,22
2,ExtraTreesGini_BAG_L1,0.871753,0.875438,100.757669,81.728121,13751.749098,10.435746,8.633042,45.744555,1,True,21
3,WeightedEnsemble_L2,0.871753,0.893434,138.517463,115.622811,25666.500759,0.005284,0.000720,0.692698,2,True,28
4,CatBoost_BAG_L1,0.871212,0.881828,91.045638,73.448260,14490.434612,0.723716,0.353182,784.430069,1,True,25
5,LightGBMXT_BAG_L1,0.871212,0.880398,91.657457,73.541649,15182.515098,1.335535,0.446571,1476.510555,1,True,24
6,RandomForestEntr_BAG_L1,0.871212,0.871403,99.923259,81.712813,13785.772334,9.601336,8.617734,79.767792,1,True,20
7,RandomForestGini_BAG_L1,0.871212,0.870115,99.979279,81.702413,13768.993329,9.657357,8.607335,62.988786,1,True,19
8,XGBoost_BAG_L1,0.848485,0.874041,90.997178,73.545023,14128.196773,0.675256,0.449944,422.192230,1,True,26
9,NeuralNetMXNet_BAG_L1,0.848485,0.877834,93.189550,75.713935,14055.029789,2.867628,2.618857,349.025246,1,True,15
10,LightGBM_BAG_L1,0.847944,0.879143,91.305722,73.500107,15771.767747,0.983800,0.405029,2065.763205,1,True,23
11,LightGBMCustom_BAG_L1,0.847944,0.875283,92.965610,73.683074,22173.789069,2.643688,0.587996,8467.784527,1,True,27
12,NeuralNetFastAI_BAG_L0,0.802489,0.858644,11.875110,9.133565,574.586606,11.875110,9.133565,574.586606,0,True,2
13,WeightedEnsemble_L1,0.802489,0.861208,26.400986,20.592861,1583.069441,0.007722,0.000685,0.692258,1,True,14
14,NeuralNetMXNet_BAG_L0,0.790584,0.849448,1.502874,1.118702,514.213277,1.502874,1.118702,514.213277,0,True,1
15,LightGBMXT_BAG_L0,0.731602,0.794039,1.759244,0.668000,1391.577765,1.759244,0.668000,1391.577765,0,True,10
16,XGBoost_BAG_L0,0.720779,0.780699,0.865657,0.472032,716.812229,0.865657,0.472032,716.812229,0,True,12
17,LightGBM_BAG_L0,0.720238,0.784599,1.772683,0.555451,2106.239449,1.772683,0.555451,2106.239449,0,True,9
18,LightGBMCustom_BAG_L0,0.720238,0.776686,3.151286,0.597934,7710.874457,3.151286,0.597934,7710.874457,0,True,13
19,RandomForestEntr_BAG_L0,0.720238,0.759690,11.768944,9.988186,72.445636,11.768944,9.988186,72.445636,0,True,6
20,CatBoost_BAG_L0,0.708874,0.788729,0.460631,0.382027,440.800703,0.460631,0.382027,440.800703,0,True,11
21,ExtraTreesGini_BAG_L0,0.708333,0.759866,12.486805,10.040731,52.318311,12.486805,10.040731,52.318311,0,True,7
22,ExtraTreesEntr_BAG_L0,0.708333,0.760014,12.554648,9.957881,52.776597,12.554648,9.957881,52.776597,0,True,8
23,RandomForestGini_BAG_L0,0.697511,0.770175,11.862006,10.044440,72.390315,11.862006,10.044440,72.390315,0,True,5
24,KNeighborsDist_BAG_L0,0.627110,0.659566,10.137894,10.070043,0.489285,10.137894,10.070043,0.489285,0,True,4
25,KNeighborsDist_BAG_L1,0.627110,0.662285,99.052824,81.732020,13706.856367,8.730902,8.636941,0.851825,1,True,18
26,KNeighborsUnif_BAG_L0,0.626515,0.654543,10.124140,10.066085,0.479912,10.124140,10.066085,0.479912,0,True,3
27,KNeighborsUnif_BAG_L1,0.626515,0.651920,99.046390,81.725006,13706.834829,8.724468,8.629928,0.830287,1,True,17
