,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost_BAG_L0,1.000000,0.981241,0.406113,0.242399,365.032528,0.406113,0.242399,365.032528,0,True,12
1,LightGBM_BAG_L0,1.000000,0.986532,1.015957,0.306513,1206.583545,1.015957,0.306513,1206.583545,0,True,9
2,LightGBMXT_BAG_L0,1.000000,0.980760,1.676277,0.562875,1617.333753,1.676277,0.562875,1617.333753,0,True,10
3,CatBoost_BAG_L1,1.000000,0.986532,39.691839,31.653215,11855.190909,0.222168,0.154966,731.843187,1,True,25
4,ExtraTreesEntr_BAG_L1,1.000000,0.987494,44.095237,36.279514,11145.497443,4.625566,4.781265,22.149722,1,True,22
5,ExtraTreesGini_BAG_L1,1.000000,0.987494,44.096792,38.612211,11145.502311,4.627120,7.113961,22.154589,1,True,21
6,RandomForestGini_BAG_L1,1.000000,0.984608,44.117980,39.118152,11169.763810,4.648309,7.619903,46.416089,1,True,19
7,NeuralNetMXNet_BAG_L0,0.995671,0.968254,0.970178,0.766151,307.592181,0.970178,0.766151,307.592181,0,True,1
8,RandomForestGini_BAG_L0,0.995671,0.977874,4.662589,4.182974,35.922286,4.662589,4.182974,35.922286,0,True,5
9,ExtraTreesEntr_BAG_L0,0.995671,0.980279,5.051364,4.095110,25.403037,5.051364,4.095110,25.403037,0,True,8
10,WeightedEnsemble_L1,0.995671,0.989899,31.966099,25.862478,8814.787200,0.012214,0.000982,1.190236,1,True,14
11,LightGBM_BAG_L1,0.995671,0.986532,39.850515,31.703631,12914.445682,0.380844,0.205382,1791.097960,1,True,23
12,LightGBMXT_BAG_L1,0.995671,0.989899,39.876433,31.708846,12753.292742,0.406762,0.210597,1629.945020,1,True,24
13,WeightedEnsemble_L2,0.995671,0.989899,39.879566,31.709821,12754.504066,0.003133,0.000976,1.211324,2,True,28
14,XGBoost_BAG_L1,0.995671,0.987975,39.984180,31.814824,11393.008743,0.514508,0.316575,269.661021,1,True,26
15,LightGBMCustom_BAG_L1,0.995671,0.987975,40.561211,31.832130,19014.241609,1.091540,0.333881,7890.893887,1,True,27
16,NeuralNetMXNet_BAG_L1,0.995671,0.982684,42.742909,34.573478,11381.283173,3.273238,3.075229,257.935452,1,True,15
17,RandomForestEntr_BAG_L1,0.995671,0.984608,44.119838,39.646482,11202.001005,4.650167,8.148233,78.653284,1,True,20
18,NeuralNetFastAI_BAG_L1,0.995671,0.988456,47.283529,38.926871,11529.758868,7.813858,7.428622,406.411146,1,True,16
19,LightGBMCustom_BAG_L0,0.991342,0.985570,2.332674,0.487185,6824.091189,2.332674,0.487185,6824.091189,0,True,13
20,ExtraTreesGini_BAG_L0,0.991342,0.980760,5.049650,4.168528,22.076184,5.049650,4.168528,22.076184,0,True,7
21,NeuralNetFastAI_BAG_L0,0.991342,0.972102,5.151098,3.547417,320.748318,5.151098,3.547417,320.748318,0,True,2
22,CatBoost_BAG_L0,0.987013,0.974988,0.206742,0.124753,348.902538,0.206742,0.124753,348.902538,0,True,11
23,RandomForestEntr_BAG_L0,0.987013,0.980279,4.658084,4.794690,48.946556,4.658084,4.794690,48.946556,0,True,6
24,KNeighborsDist_BAG_L1,0.969697,0.960558,43.675102,35.590775,11124.327750,4.205431,4.092525,0.980028,1,True,18
25,KNeighborsDist_BAG_L0,0.965368,0.958153,4.146471,4.110587,0.361177,4.146471,4.110587,0.361177,0,True,4
26,KNeighborsUnif_BAG_L0,0.943723,0.944685,4.142473,4.109067,0.354429,4.142473,4.109067,0.354429,0,True,3
27,KNeighborsUnif_BAG_L1,0.943723,0.946128,43.674748,35.588000,11124.315311,4.205077,4.089751,0.967589,1,True,17
