,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM_BAG_L1,0.987013,0.988937,39.840782,44.289079,13484.583365,0.398354,0.221670,1921.744519,1,True,23
1,XGBoost_BAG_L1,0.987013,0.989418,39.937238,44.406386,11851.787719,0.494810,0.338977,288.948873,1,True,26
2,LightGBMCustom_BAG_L1,0.987013,0.989418,39.946513,44.301691,19611.498487,0.504086,0.234282,8048.659640,1,True,27
3,NeuralNetFastAI_BAG_L1,0.987013,0.990380,47.618511,51.909724,12014.467372,8.176083,7.842315,451.628525,1,True,16
4,WeightedEnsemble_L2,0.987013,0.991823,48.489363,52.462423,14005.167815,0.002748,0.000994,1.211926,2,True,28
5,XGBoost_BAG_L0,0.982684,0.983165,0.382648,0.231689,361.642613,0.382648,0.231689,361.642613,0,True,12
6,CatBoost_BAG_L1,0.982684,0.986051,39.702009,44.249979,12286.271791,0.259581,0.182570,723.432945,1,True,25
7,RandomForestGini_BAG_L1,0.982684,0.988937,44.135727,51.195248,11610.287360,4.693300,7.127839,47.448514,1,True,19
8,RandomForestEntr_BAG_L1,0.982684,0.987494,44.143114,51.316513,11642.375219,4.700686,7.249104,79.536372,1,True,20
9,ExtraTreesGini_BAG_L1,0.982684,0.988937,44.175551,49.060730,11584.986016,4.733123,4.993322,22.147170,1,True,21
10,ExtraTreesEntr_BAG_L1,0.982684,0.987494,44.193215,48.454228,11585.268002,4.750787,4.386819,22.429155,1,True,22
11,LightGBM_BAG_L0,0.978355,0.987975,0.896910,0.299185,1240.788116,0.896910,0.299185,1240.788116,0,True,9
12,LightGBMCustom_BAG_L0,0.978355,0.983165,1.964073,0.454166,7145.663754,1.964073,0.454166,7145.663754,0,True,13
13,WeightedEnsemble_L1,0.978355,0.990380,27.261057,32.477288,9188.762699,0.013508,0.001088,1.212862,1,True,14
14,LightGBMXT_BAG_L1,0.978355,0.988456,39.815722,44.280136,13263.378491,0.373294,0.212727,1700.539645,1,True,24
15,CatBoost_BAG_L0,0.974026,0.976431,0.218934,0.152615,373.840553,0.218934,0.152615,373.840553,0,True,11
16,RandomForestEntr_BAG_L0,0.974026,0.982203,4.881582,7.521073,50.321742,4.881582,7.521073,50.321742,0,True,6
17,LightGBMXT_BAG_L0,0.969697,0.978836,1.482385,0.487874,1618.975392,1.482385,0.487874,1618.975392,0,True,10
18,RandomForestGini_BAG_L0,0.969697,0.981241,4.791674,7.623793,37.932440,4.791674,7.623793,37.932440,0,True,5
19,NeuralNetFastAI_BAG_L0,0.969697,0.975950,5.453106,3.928988,357.275735,5.453106,3.928988,357.275735,0,True,2
20,ExtraTreesEntr_BAG_L0,0.965368,0.982203,5.032588,7.323593,25.403729,5.032588,7.323593,25.403729,0,True,8
21,ExtraTreesGini_BAG_L0,0.965368,0.981722,5.040453,7.021732,25.197329,5.040453,7.021732,25.197329,0,True,7
22,NeuralNetMXNet_BAG_L0,0.961039,0.970659,0.978853,0.776163,325.064934,0.978853,0.776163,325.064934,0,True,1
23,NeuralNetMXNet_BAG_L1,0.956710,0.978355,42.783708,47.175339,11820.064313,3.341280,3.107931,257.225467,1,True,15
24,KNeighborsDist_BAG_L1,0.952381,0.961039,43.643024,48.179686,11563.812345,4.200596,4.112277,0.973498,1,True,18
25,KNeighborsDist_BAG_L0,0.948052,0.959596,4.161357,4.124365,0.370337,4.161357,4.124365,0.370337,0,True,4
26,KNeighborsUnif_BAG_L1,0.939394,0.945647,43.659366,48.178373,11563.804295,4.216938,4.110964,0.965449,1,True,17
27,KNeighborsUnif_BAG_L0,0.930736,0.942761,4.157866,4.122173,0.362170,4.157866,4.122173,0.362170,0,True,3
