,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost_BAG_L1,0.981481,0.937243,74.688506,60.965977,11966.710878,0.744274,0.642446,960.402909,1,True,25
1,LightGBM_BAG_L1,0.981481,0.943416,74.808479,60.739542,12972.985993,0.864247,0.416011,1966.678023,1,True,23
2,LightGBMXT_BAG_L1,0.981481,0.938272,74.808614,60.715000,12986.358519,0.864382,0.391469,1980.050550,1,True,24
3,LightGBMCustom_BAG_L1,0.981481,0.939300,75.468808,60.759488,20092.020771,1.524576,0.435956,9085.712801,1,True,27
4,ExtraTreesGini_BAG_L1,0.981481,0.936214,78.398985,67.580706,11037.866036,4.454753,7.257174,31.558066,1,True,21
5,ExtraTreesEntr_BAG_L1,0.981481,0.936214,78.505745,66.970342,11039.441856,4.561513,6.646811,33.133886,1,True,22
6,RandomForestEntr_BAG_L1,0.981481,0.935185,79.201210,67.585226,11058.506941,5.256978,7.261695,52.198971,1,True,20
7,RandomForestGini_BAG_L1,0.981481,0.933128,81.120000,67.276398,11044.900770,7.175768,6.952867,38.592800,1,True,19
8,WeightedEnsemble_L2,0.981481,0.945473,127.791831,111.819166,23609.297586,0.011549,0.001014,0.938707,2,True,28
9,XGBoost_BAG_L1,0.972222,0.941358,74.435210,60.615698,11311.570170,0.490978,0.292167,305.262200,1,True,26
10,KNeighborsUnif_BAG_L1,0.972222,0.932099,77.887349,64.135542,11009.785130,3.943117,3.812011,3.477160,1,True,17
11,KNeighborsDist_BAG_L1,0.972222,0.932099,77.892412,64.034248,11009.765129,3.948180,3.710717,3.457159,1,True,18
12,NeuralNetMXNet_BAG_L0,0.962963,0.936214,6.167714,5.328211,457.171240,6.167714,5.328211,457.171240,0,True,1
13,CatBoost_BAG_L0,0.953704,0.912551,0.763792,0.584395,342.073098,0.763792,0.584395,342.073098,0,True,11
14,ExtraTreesGini_BAG_L0,0.953704,0.925926,5.355221,4.005432,34.307133,5.355221,4.005432,34.307133,0,True,7
15,ExtraTreesEntr_BAG_L0,0.953704,0.920782,5.363270,3.821208,36.866647,5.363270,3.821208,36.866647,0,True,8
16,WeightedEnsemble_L1,0.953704,0.948560,8.000011,5.747845,7719.561926,0.005115,0.000883,0.934722,1,True,14
17,LightGBMCustom_BAG_L0,0.944444,0.927984,1.827183,0.418751,7261.455964,1.827183,0.418751,7261.455964,0,True,13
18,RandomForestGini_BAG_L0,0.944444,0.919753,5.639752,5.326718,37.824609,5.639752,5.326718,37.824609,0,True,5
19,RandomForestEntr_BAG_L0,0.935185,0.910494,5.222390,4.818400,38.357964,5.222390,4.818400,38.357964,0,True,6
20,NeuralNetMXNet_BAG_L1,0.935185,0.913580,82.303608,68.232351,11377.027748,8.359376,7.908820,370.719778,1,True,15
21,XGBoost_BAG_L0,0.925926,0.916667,0.623720,0.258969,448.561959,0.623720,0.258969,448.561959,0,True,12
22,LightGBMXT_BAG_L0,0.879630,0.864198,0.979279,0.356692,887.902906,0.979279,0.356692,887.902906,0,True,10
23,KNeighborsDist_BAG_L0,0.870370,0.885802,4.397141,3.801348,2.912743,4.397141,3.801348,2.912743,0,True,4
24,LightGBM_BAG_L0,0.861111,0.858025,1.105730,0.375219,1069.606358,1.105730,0.375219,1069.606358,0,True,9
25,KNeighborsUnif_BAG_L0,0.851852,0.884774,4.422997,3.701961,2.910959,4.422997,3.701961,2.910959,0,True,3
26,NeuralNetFastAI_BAG_L1,0.851852,0.653292,108.966786,92.912050,11520.361299,35.022554,32.588519,514.053329,1,True,16
27,NeuralNetFastAI_BAG_L0,0.574074,0.280864,32.076045,27.526228,386.356391,32.076045,27.526228,386.356391,0,True,2
