,hue,performance,model,dataset_name,stack
26,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,26
27,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,27
28,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,28
29,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,29
30,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,30
31,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,31
32,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,32
33,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,33
34,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,34
35,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,35
36,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,36
37,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,37
38,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,38
39,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,39
40,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,40
41,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,41
42,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,42
43,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,43
44,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,44
45,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,45
46,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,46
47,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,47
48,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,48
49,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,31,49
50,test_performance_singlemodelTrue,0.6855493133583022,HistGradientBoostingClassifier,31,0
51,test_performance_singlemodelTrue,0.696785268414482,HistGradientBoostingClassifier,31,1
52,test_performance_singlemodelTrue,0.699438202247191,HistGradientBoostingClassifier,31,2
53,test_performance_singlemodelTrue,0.6551186017478152,HistGradientBoostingClassifier,31,3
54,test_performance_singlemodelTrue,0.7134831460674158,HistGradientBoostingClassifier,31,4
55,test_performance_singlemodelTrue,0.688358302122347,HistGradientBoostingClassifier,31,5
56,test_performance_singlemodelTrue,0.7078651685393258,HistGradientBoostingClassifier,31,6
57,test_performance_singlemodelTrue,0.6551186017478152,HistGradientBoostingClassifier,31,7
58,test_performance_singlemodelTrue,0.6896847690387016,HistGradientBoostingClassifier,31,8
59,test_performance_singlemodelTrue,0.6898408239700374,HistGradientBoostingClassifier,31,9
60,test_performance_singlemodelTrue,0.6870318352059925,HistGradientBoostingClassifier,31,10
61,test_performance_singlemodelTrue,0.6842228464419475,HistGradientBoostingClassifier,31,11
62,test_performance_singlemodelTrue,0.6686953807740325,HistGradientBoostingClassifier,31,12
63,test_performance_singlemodelTrue,0.6632334581772784,HistGradientBoostingClassifier,31,13
64,test_performance_singlemodelTrue,0.6855493133583022,HistGradientBoostingClassifier,31,14
65,test_performance_singlemodelTrue,0.677434456928839,HistGradientBoostingClassifier,31,15
66,test_performance_singlemodelTrue,0.688358302122347,HistGradientBoostingClassifier,31,16
67,test_performance_singlemodelTrue,0.682896379525593,HistGradientBoostingClassifier,31,17
68,test_performance_singlemodelTrue,0.6579275905118602,HistGradientBoostingClassifier,31,18
69,test_performance_singlemodelTrue,0.6842228464419475,HistGradientBoostingClassifier,31,19
70,test_performance_singlemodelTrue,0.6648720349563046,HistGradientBoostingClassifier,31,20
71,test_performance_singlemodelTrue,0.693976279650437,HistGradientBoostingClassifier,31,21
72,test_performance_singlemodelTrue,0.6787609238451935,HistGradientBoostingClassifier,31,22
73,test_performance_singlemodelTrue,0.6855493133583022,HistGradientBoostingClassifier,31,23
74,test_performance_singlemodelTrue,0.702247191011236,HistGradientBoostingClassifier,31,24
75,test_performance_singlemodelTrue,0.7037297128589264,HistGradientBoostingClassifier,31,25
76,test_performance_singlemodelTrue,0.6648720349563046,HistGradientBoostingClassifier,31,26
77,test_performance_singlemodelTrue,0.688358302122347,HistGradientBoostingClassifier,31,27
78,test_performance_singlemodelTrue,0.6632334581772784,HistGradientBoostingClassifier,31,28
79,test_performance_singlemodelTrue,0.6729868913857677,HistGradientBoostingClassifier,31,29
80,test_performance_singlemodelTrue,0.693976279650437,HistGradientBoostingClassifier,31,30
81,test_performance_singlemodelTrue,0.7131710362047441,HistGradientBoostingClassifier,31,31
82,test_performance_singlemodelTrue,0.620396379525593,HistGradientBoostingClassifier,31,32
83,test_performance_singlemodelTrue,0.7120006242197253,HistGradientBoostingClassifier,31,33
84,test_performance_singlemodelTrue,0.6619069912609239,HistGradientBoostingClassifier,31,34
