,hue,performance,model,dataset_name,level
35,test_performance_singlemodelTrue,0.6842228464419475,RandomForestClassifier,31,4
36,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,4
37,test_performance_singlemodelTrue,0.6533239700374531,DecisionTreeClassifier,31,4
38,train_performance_singlemodelTrue,0.6896551724137931,LinearDiscriminantAnalysis,31,4
39,test_performance_singlemodelTrue,0.6882022471910112,LinearDiscriminantAnalysis,31,4
40,train_performance_singlemodelTrue,0.9978070175438596,HistGradientBoostingClassifier,31,5
41,test_performance_singlemodelTrue,0.7063826466916354,HistGradientBoostingClassifier,31,5
42,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,5
43,test_performance_singlemodelTrue,0.6896847690387016,RandomForestClassifier,31,5
44,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,5
45,test_performance_singlemodelTrue,0.6604244694132335,DecisionTreeClassifier,31,5
46,train_performance_singlemodelTrue,0.6896551724137931,LinearDiscriminantAnalysis,31,5
47,test_performance_singlemodelTrue,0.6882022471910112,LinearDiscriminantAnalysis,31,5
48,train_performance_singlemodelTrue,0.9978070175438596,HistGradientBoostingClassifier,31,6
49,test_performance_singlemodelTrue,0.6757958801498127,HistGradientBoostingClassifier,31,6
50,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,6
51,test_performance_singlemodelTrue,0.696785268414482,RandomForestClassifier,31,6
52,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,6
53,test_performance_singlemodelTrue,0.6477059925093633,DecisionTreeClassifier,31,6
54,train_performance_singlemodelTrue,0.6896551724137931,LinearDiscriminantAnalysis,31,6
55,test_performance_singlemodelTrue,0.6882022471910112,LinearDiscriminantAnalysis,31,6
56,train_performance_singlemodelTrue,0.9978070175438596,HistGradientBoostingClassifier,31,7
57,test_performance_singlemodelTrue,0.7050561797752809,HistGradientBoostingClassifier,31,7
58,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,7
59,test_performance_singlemodelTrue,0.7009207240948814,RandomForestClassifier,31,7
60,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,7
61,test_performance_singlemodelTrue,0.6324906367041199,DecisionTreeClassifier,31,7
62,train_performance_singlemodelTrue,0.6896551724137931,LinearDiscriminantAnalysis,31,7
63,test_performance_singlemodelTrue,0.6882022471910112,LinearDiscriminantAnalysis,31,7
64,train_performance_singlemodelTrue,0.9978070175438596,HistGradientBoostingClassifier,31,8
65,test_performance_singlemodelTrue,0.6786048689138576,HistGradientBoostingClassifier,31,8
66,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,8
