,avg_test_performance,avg_val_performance,avg_train_performance,nonavg_test_performance,nonavg_val_performance,nonavg_train_performance,model,dataset_name,repeat
0,0.8472104219767771,0.8676032834205304,1.0,0.8472104219767771,0.8676032834205304,1.0,HistGradientBoostingClassifier,146818,0
1,0.8501132823562729,0.8720157556076733,1.0,0.853016142735769,0.8582822178122557,1.0,HistGradientBoostingClassifier,146818,1
2,0.8547861795525347,0.8686556617956582,1.0,0.8565562163693005,0.8549221240002405,1.0,HistGradientBoostingClassifier,146818,2
3,0.8472104219767771,0.8603569066089362,1.0,0.8518833191730388,0.8474126525948644,1.0,HistGradientBoostingClassifier,146818,3
4,0.8518833191730388,0.8603569066089362,1.0,0.8565562163693005,0.8595676228275904,1.0,HistGradientBoostingClassifier,146818,4
5,0.8518833191730388,0.8603569066089362,1.0,0.8565562163693005,0.8437593962354921,1.0,HistGradientBoostingClassifier,146818,5
6,0.8565562163693005,0.8600938120151542,1.0,0.8594590767487964,0.8657916892176318,1.0,HistGradientBoostingClassifier,146818,6
7,0.8565562163693005,0.8600938120151542,1.0,0.8565562163693005,0.8598307174213723,1.0,HistGradientBoostingClassifier,146818,7
8,0.8518833191730388,0.8580191232184737,1.0,0.8518833191730388,0.8541328402188947,1.0,HistGradientBoostingClassifier,146818,8
9,0.8565562163693005,0.8564706236093571,1.0,0.864131973945058,0.8704672559985567,1.0,HistGradientBoostingClassifier,146818,9
10,0.8565562163693005,0.8585453124060376,1.0,0.8443075615972813,0.8556813398280113,1.0,HistGradientBoostingClassifier,146818,10
11,0.8565562163693005,0.8621685008118347,1.0,0.8594590767487964,0.8502465572193156,1.0,HistGradientBoostingClassifier,146818,11
12,0.8565562163693005,0.8603569066089362,1.0,0.8612291135655621,0.8448117746106201,1.0,HistGradientBoostingClassifier,146818,12
13,0.8565562163693005,0.8564706236093571,1.0,0.8594590767487964,0.8626946899993987,1.0,HistGradientBoostingClassifier,146818,13
14,0.8565562163693005,0.8567337182031391,1.0,0.8594590767487964,0.8562075290155752,1.0,HistGradientBoostingClassifier,146818,14
15,0.8565562163693005,0.8606200012027181,1.0,0.8763806287170773,0.8702041614047749,1.0,HistGradientBoostingClassifier,146818,15
16,0.8565562163693005,0.8606200012027181,1.0,0.8518833191730388,0.8606200012027181,1.0,HistGradientBoostingClassifier,146818,16
17,0.8565562163693005,0.8588084069998196,1.0,0.8472104219767771,0.8458340850321726,1.0,HistGradientBoostingClassifier,146818,17
18,0.8518833191730388,0.8567337182031391,1.0,0.8518833191730388,0.8546590294064587,1.0,HistGradientBoostingClassifier,146818,18
19,0.8472104219767771,0.8585453124060376,1.0,0.8518833191730388,0.8645062842022972,1.0,HistGradientBoostingClassifier,146818,19
20,0.8518833191730388,0.8567337182031391,1.0,0.8565562163693005,0.8626946899993987,1.0,HistGradientBoostingClassifier,146818,20
21,0.8472104219767771,0.8603569066089362,1.0,0.8518833191730388,0.8505096518130977,1.0,HistGradientBoostingClassifier,146818,21
22,0.8472104219767771,0.8546590294064587,1.0,0.8717077315208157,0.8463602742197367,1.0,HistGradientBoostingClassifier,146818,22
23,0.8472104219767771,0.8603569066089362,1.0,0.8547861795525347,0.8484349630164172,1.0,HistGradientBoostingClassifier,146818,23
24,0.8472104219767771,0.8585453124060376,1.0,0.8565562163693005,0.8577560286246918,1.0,HistGradientBoostingClassifier,146818,24
25,0.8472104219767771,0.8624315954056166,1.0,0.8518833191730388,0.8603569066089362,1.0,HistGradientBoostingClassifier,146818,25
26,0.8472104219767771,0.8603569066089362,1.0,0.8518833191730388,0.8621685008118347,1.0,HistGradientBoostingClassifier,146818,26
27,0.8472104219767771,0.8603569066089362,1.0,0.8518833191730388,0.8691517830296469,1.0,HistGradientBoostingClassifier,146818,27
28,0.8472104219767771,0.8603569066089362,1.0,0.864131973945058,0.8686556617956582,1.0,HistGradientBoostingClassifier,146818,28
29,0.8472104219767771,0.8603569066089362,1.0,0.8518833191730388,0.8453379637981839,1.0,HistGradientBoostingClassifier,146818,29
30,0.8472104219767771,0.8585453124060376,1.0,0.8688048711413197,0.8538697456251128,1.0,HistGradientBoostingClassifier,146818,30
31,0.8472104219767771,0.8585453124060376,1.0,0.8472104219767771,0.8580191232184737,1.0,HistGradientBoostingClassifier,146818,31
32,0.8472104219767771,0.8585453124060376,1.0,0.8565562163693005,0.8574929340309099,1.0,HistGradientBoostingClassifier,146818,32
33,0.8472104219767771,0.8603569066089362,1.0,0.864131973945058,0.8505096518130977,1.0,HistGradientBoostingClassifier,146818,33
34,0.8472104219767771,0.8603569066089362,1.0,0.8594590767487964,0.8541328402188947,1.0,HistGradientBoostingClassifier,146818,34
35,0.8472104219767771,0.8603569066089362,1.0,0.8565562163693005,0.8603569066089362,1.0,HistGradientBoostingClassifier,146818,35
36,0.8472104219767771,0.8603569066089362,1.0,0.8472104219767771,0.85284743520356,1.0,HistGradientBoostingClassifier,146818,36
37,0.8472104219767771,0.8603569066089362,1.0,0.8472104219767771,0.8450748692044019,1.0,HistGradientBoostingClassifier,146818,37
38,0.8472104219767771,0.8603569066089362,1.0,0.8565562163693005,0.8691517830296469,1.0,HistGradientBoostingClassifier,146818,38
39,0.8472104219767771,0.8603569066089362,1.0,0.8472104219767771,0.853110529797342,1.0,HistGradientBoostingClassifier,146818,39
40,0.8472104219767771,0.8603569066089362,1.0,0.8472104219767771,0.8595676228275904,1.0,HistGradientBoostingClassifier,146818,40
41,0.8472104219767771,0.8603569066089362,1.0,0.8518833191730388,0.8559444344217932,1.0,HistGradientBoostingClassifier,146818,41
