,hue,performance,model,dataset_name,stack
0,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,0
1,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,1
2,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,2
3,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,3
4,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,4
5,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,5
6,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,6
7,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,7
8,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,8
9,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,9
10,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,10
11,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,11
12,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,12
13,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,13
14,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,14
15,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,15
16,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,16
17,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,17
18,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,18
19,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,19
20,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,20
21,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,21
22,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,22
23,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,23
24,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,24
25,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,25
26,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,26
27,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,27
28,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,28
29,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,29
30,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,30
31,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,31
32,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,32
33,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,33
34,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,34
35,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,35
36,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,36
37,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,37
38,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,38
39,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,39
40,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,40
41,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,41
42,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,42
43,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,43
44,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,44
45,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,45
46,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,46
47,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,47
48,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,48
49,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,146818,49
50,test_performance_singlemodelTrue,0.8472104219767771,HistGradientBoostingClassifier,146818,0
51,test_performance_singlemodelTrue,0.8547861795525347,HistGradientBoostingClassifier,146818,1
52,test_performance_singlemodelTrue,0.8507504956103087,HistGradientBoostingClassifier,146818,2
53,test_performance_singlemodelTrue,0.8478476352308129,HistGradientBoostingClassifier,146818,3
54,test_performance_singlemodelTrue,0.8565562163693005,HistGradientBoostingClassifier,146818,4
55,test_performance_singlemodelTrue,0.8518833191730388,HistGradientBoostingClassifier,146818,5
56,test_performance_singlemodelTrue,0.8536533559898045,HistGradientBoostingClassifier,146818,6
57,test_performance_singlemodelTrue,0.8302888700084962,HistGradientBoostingClassifier,146818,7
58,test_performance_singlemodelTrue,0.8443075615972813,HistGradientBoostingClassifier,146818,8
59,test_performance_singlemodelTrue,0.8565562163693005,HistGradientBoostingClassifier,146818,9
60,test_performance_singlemodelTrue,0.8612291135655621,HistGradientBoostingClassifier,146818,10
61,test_performance_singlemodelTrue,0.8594590767487964,HistGradientBoostingClassifier,146818,11
62,test_performance_singlemodelTrue,0.8536533559898045,HistGradientBoostingClassifier,146818,12
63,test_performance_singlemodelTrue,0.8314216935712262,HistGradientBoostingClassifier,146818,13
64,test_performance_singlemodelTrue,0.8605919003115265,HistGradientBoostingClassifier,146818,14
65,test_performance_singlemodelTrue,0.8612291135655621,HistGradientBoostingClassifier,146818,15
66,test_performance_singlemodelTrue,0.864131973945058,HistGradientBoostingClassifier,146818,16
67,test_performance_singlemodelTrue,0.8594590767487964,HistGradientBoostingClassifier,146818,17
68,test_performance_singlemodelTrue,0.853016142735769,HistGradientBoostingClassifier,146818,18
69,test_performance_singlemodelTrue,0.8583262531860663,HistGradientBoostingClassifier,146818,19
70,test_performance_singlemodelTrue,0.8699376947040498,HistGradientBoostingClassifier,146818,20
71,test_performance_singlemodelTrue,0.8443075615972813,HistGradientBoostingClassifier,146818,21
72,test_performance_singlemodelTrue,0.8763806287170773,HistGradientBoostingClassifier,146818,22
73,test_performance_singlemodelTrue,0.8518833191730388,HistGradientBoostingClassifier,146818,23
74,test_performance_singlemodelTrue,0.8594590767487964,HistGradientBoostingClassifier,146818,24
75,test_performance_singlemodelTrue,0.8518833191730388,HistGradientBoostingClassifier,146818,25
76,test_performance_singlemodelTrue,0.8414047012177853,HistGradientBoostingClassifier,146818,26
77,test_performance_singlemodelTrue,0.8355989804587935,HistGradientBoostingClassifier,146818,27
78,test_performance_singlemodelTrue,0.853016142735769,HistGradientBoostingClassifier,146818,28
79,test_performance_singlemodelTrue,0.8623619371282922,HistGradientBoostingClassifier,146818,29
80,test_performance_singlemodelTrue,0.8204474653072784,HistGradientBoostingClassifier,146818,30
81,test_performance_singlemodelTrue,0.8547861795525347,HistGradientBoostingClassifier,146818,31
82,test_performance_singlemodelTrue,0.8594590767487964,HistGradientBoostingClassifier,146818,32
83,test_performance_singlemodelTrue,0.8501132823562729,HistGradientBoostingClassifier,146818,33
84,test_performance_singlemodelTrue,0.8886292834890965,HistGradientBoostingClassifier,146818,34
85,test_performance_singlemodelTrue,0.846077598414047,HistGradientBoostingClassifier,146818,35
86,test_performance_singlemodelTrue,0.8576890399320306,HistGradientBoostingClassifier,146818,36
87,test_performance_singlemodelTrue,0.8594590767487964,HistGradientBoostingClassifier,146818,37
88,test_performance_singlemodelTrue,0.8518833191730388,HistGradientBoostingClassifier,146818,38
89,test_performance_singlemodelTrue,0.8775134522798074,HistGradientBoostingClassifier,146818,39
90,test_performance_singlemodelTrue,0.8518833191730388,HistGradientBoostingClassifier,146818,40
91,test_performance_singlemodelTrue,0.8273860096290002,HistGradientBoostingClassifier,146818,41
92,test_performance_singlemodelTrue,0.8443075615972813,HistGradientBoostingClassifier,146818,42
93,test_performance_singlemodelTrue,0.8443075615972813,HistGradientBoostingClassifier,146818,43
94,test_performance_singlemodelTrue,0.8507504956103087,HistGradientBoostingClassifier,146818,44
95,test_performance_singlemodelTrue,0.8425375247805154,HistGradientBoostingClassifier,146818,45
96,test_performance_singlemodelTrue,0.8594590767487964,HistGradientBoostingClassifier,146818,46
97,test_performance_singlemodelTrue,0.8518833191730388,HistGradientBoostingClassifier,146818,47
98,test_performance_singlemodelTrue,0.8291560464457661,HistGradientBoostingClassifier,146818,48
99,test_performance_singlemodelTrue,0.8554233928065704,HistGradientBoostingClassifier,146818,49
100,val_performance_singlemodelTrue,0.8676032834205304,HistGradientBoostingClassifier,146818,0
101,val_performance_singlemodelTrue,0.857259907390703,HistGradientBoostingClassifier,146818,1
102,val_performance_singlemodelTrue,0.8642431896085152,HistGradientBoostingClassifier,146818,2
103,val_performance_singlemodelTrue,0.8574929340309099,HistGradientBoostingClassifier,146818,3
104,val_performance_singlemodelTrue,0.8515319622346503,HistGradientBoostingClassifier,146818,4
105,val_performance_singlemodelTrue,0.865265500030068,HistGradientBoostingClassifier,146818,5
106,val_performance_singlemodelTrue,0.8481718684226351,HistGradientBoostingClassifier,146818,6
107,val_performance_singlemodelTrue,0.8619054062180528,HistGradientBoostingClassifier,146818,7
108,val_performance_singlemodelTrue,0.832626736424319,HistGradientBoostingClassifier,146818,8
109,val_performance_singlemodelTrue,0.857259907390703,HistGradientBoostingClassifier,146818,9
110,val_performance_singlemodelTrue,0.8543959348126766,HistGradientBoostingClassifier,146818,10
111,val_performance_singlemodelTrue,0.8554182452342294,HistGradientBoostingClassifier,146818,11
112,val_performance_singlemodelTrue,0.8448117746106201,HistGradientBoostingClassifier,146818,12
113,val_performance_singlemodelTrue,0.8564706236093571,HistGradientBoostingClassifier,146818,13
114,val_performance_singlemodelTrue,0.8474126525948644,HistGradientBoostingClassifier,146818,14
115,val_performance_singlemodelTrue,0.8761651332010343,HistGradientBoostingClassifier,146818,15
116,val_performance_singlemodelTrue,0.8422108966263756,HistGradientBoostingClassifier,146818,16
117,val_performance_singlemodelTrue,0.8476757471886462,HistGradientBoostingClassifier,146818,17
118,val_performance_singlemodelTrue,0.8556813398280113,HistGradientBoostingClassifier,146818,18
119,val_performance_singlemodelTrue,0.856996812796921,HistGradientBoostingClassifier,146818,19
120,val_performance_singlemodelTrue,0.8559444344217932,HistGradientBoostingClassifier,146818,20
121,val_performance_singlemodelTrue,0.8300258584400746,HistGradientBoostingClassifier,146818,21
122,val_performance_singlemodelTrue,0.8562075290155752,HistGradientBoostingClassifier,146818,22
123,val_performance_singlemodelTrue,0.8523212460159961,HistGradientBoostingClassifier,146818,23
124,val_performance_singlemodelTrue,0.8533736243911239,HistGradientBoostingClassifier,146818,24
125,val_performance_singlemodelTrue,0.8746166335919177,HistGradientBoostingClassifier,146818,25
126,val_performance_singlemodelTrue,0.8588084069998196,HistGradientBoostingClassifier,146818,26
127,val_performance_singlemodelTrue,0.8546289614528835,HistGradientBoostingClassifier,146818,27
128,val_performance_singlemodelTrue,0.8650324733898611,HistGradientBoostingClassifier,146818,28
129,val_performance_singlemodelTrue,0.8520581514222142,HistGradientBoostingClassifier,146818,29
130,val_performance_singlemodelTrue,0.8530804618437668,HistGradientBoostingClassifier,146818,30
131,val_performance_singlemodelTrue,0.8681294726080944,HistGradientBoostingClassifier,146818,31
132,val_performance_singlemodelTrue,0.8458340850321726,HistGradientBoostingClassifier,146818,32
133,val_performance_singlemodelTrue,0.8549221240002405,HistGradientBoostingClassifier,146818,33
134,val_performance_singlemodelTrue,0.8603569066089362,HistGradientBoostingClassifier,146818,34
135,val_performance_singlemodelTrue,0.8582822178122557,HistGradientBoostingClassifier,146818,35
136,val_performance_singlemodelTrue,0.8588084069998196,HistGradientBoostingClassifier,146818,36
137,val_performance_singlemodelTrue,0.836513019423898,HistGradientBoostingClassifier,146818,37
138,val_performance_singlemodelTrue,0.8842007937939744,HistGradientBoostingClassifier,146818,38
139,val_performance_singlemodelTrue,0.8657916892176318,HistGradientBoostingClassifier,146818,39
140,val_performance_singlemodelTrue,0.8541328402188947,HistGradientBoostingClassifier,146818,40
141,val_performance_singlemodelTrue,0.8543959348126766,HistGradientBoostingClassifier,146818,41
142,val_performance_singlemodelTrue,0.8624315954056166,HistGradientBoostingClassifier,146818,42
143,val_performance_singlemodelTrue,0.8548920560466655,HistGradientBoostingClassifier,146818,43
144,val_performance_singlemodelTrue,0.8639800950147333,HistGradientBoostingClassifier,146818,44
145,val_performance_singlemodelTrue,0.8497203680317518,HistGradientBoostingClassifier,146818,45
146,val_performance_singlemodelTrue,0.8640101629683083,HistGradientBoostingClassifier,146818,46
147,val_performance_singlemodelTrue,0.8517950568284323,HistGradientBoostingClassifier,146818,47
148,val_performance_singlemodelTrue,0.8606200012027181,HistGradientBoostingClassifier,146818,48
149,val_performance_singlemodelTrue,0.8536066510313308,HistGradientBoostingClassifier,146818,49
150,train_performance_singlemodelTrue,1.0,RandomForestClassifier,146818,0
151,train_performance_singlemodelTrue,1.0,RandomForestClassifier,146818,1
152,train_performance_singlemodelTrue,1.0,RandomForestClassifier,146818,2
