,hue,performance,model,dataset_name,level
0,train_performance_singlemodelTrue,0.8065790365053229,HistGradientBoostingClassifier,7592,0
1,test_performance_singlemodelTrue,0.8071220591177088,HistGradientBoostingClassifier,7592,0
2,train_performance_singlemodelTrue,0.9991326379119876,RandomForestClassifier,7592,0
3,test_performance_singlemodelTrue,0.7821611227022758,RandomForestClassifier,7592,0
4,train_performance_singlemodelTrue,0.9997941546461722,DecisionTreeClassifier,7592,0
5,test_performance_singlemodelTrue,0.7775847392968323,DecisionTreeClassifier,7592,0
6,train_performance_singlemodelTrue,0.7009143226025217,LinearDiscriminantAnalysis,7592,0
7,test_performance_singlemodelTrue,0.7052816159088904,LinearDiscriminantAnalysis,7592,0
8,train_performance_singlemodelTrue,0.7967504509378518,HistGradientBoostingClassifier,7592,1
9,test_performance_singlemodelTrue,0.8070151529812967,HistGradientBoostingClassifier,7592,1
10,train_performance_singlemodelTrue,0.9994903737259343,RandomForestClassifier,7592,1
11,test_performance_singlemodelTrue,0.7864674530497959,RandomForestClassifier,7592,1
12,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,7592,1
13,test_performance_singlemodelTrue,0.7761450799715526,DecisionTreeClassifier,7592,1
14,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,1
15,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,1
16,train_performance_singlemodelTrue,0.7970948355125285,HistGradientBoostingClassifier,7592,2
17,test_performance_singlemodelTrue,0.8059651004786715,HistGradientBoostingClassifier,7592,2
18,train_performance_singlemodelTrue,0.99920724801812,RandomForestClassifier,7592,2
19,test_performance_singlemodelTrue,0.7835370387292082,RandomForestClassifier,7592,2
20,train_performance_singlemodelTrue,0.9998507797877351,DecisionTreeClassifier,7592,2
21,test_performance_singlemodelTrue,0.7790434074836091,DecisionTreeClassifier,7592,2
22,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,2
23,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,2
24,train_performance_singlemodelTrue,0.7976377614678795,HistGradientBoostingClassifier,7592,3
25,test_performance_singlemodelTrue,0.8065047762758033,HistGradientBoostingClassifier,7592,3
26,train_performance_singlemodelTrue,0.9994157636198018,RandomForestClassifier,7592,3
27,test_performance_singlemodelTrue,0.7878968221449345,RandomForestClassifier,7592,3
28,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,7592,3
29,test_performance_singlemodelTrue,0.7777597480472698,DecisionTreeClassifier,7592,3
30,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,3
31,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,3
32,train_performance_singlemodelTrue,0.7969429450524096,HistGradientBoostingClassifier,7592,4
33,test_performance_singlemodelTrue,0.8062763144571596,HistGradientBoostingClassifier,7592,4
34,train_performance_singlemodelTrue,0.9993771234428086,RandomForestClassifier,7592,4
35,test_performance_singlemodelTrue,0.7838336031618771,RandomForestClassifier,7592,4
36,train_performance_singlemodelTrue,0.999907404929298,DecisionTreeClassifier,7592,4
37,test_performance_singlemodelTrue,0.7787219032749799,DecisionTreeClassifier,7592,4
38,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,4
39,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,4
40,train_performance_singlemodelTrue,0.7972800256539327,HistGradientBoostingClassifier,7592,5
41,test_performance_singlemodelTrue,0.8062763144571596,HistGradientBoostingClassifier,7592,5
42,train_performance_singlemodelTrue,0.9993204983012458,RandomForestClassifier,7592,5
43,test_performance_singlemodelTrue,0.7848638610036125,RandomForestClassifier,7592,5
44,train_performance_singlemodelTrue,0.9999433748584372,DecisionTreeClassifier,7592,5
45,test_performance_singlemodelTrue,0.7752320184963706,DecisionTreeClassifier,7592,5
46,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,5
47,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,5
48,train_performance_singlemodelTrue,0.7960529642745279,HistGradientBoostingClassifier,7592,6
49,test_performance_singlemodelTrue,0.8069228963907036,HistGradientBoostingClassifier,7592,6
50,train_performance_singlemodelTrue,0.9993025133366762,RandomForestClassifier,7592,6
51,test_performance_singlemodelTrue,0.7849810573701659,RandomForestClassifier,7592,6
52,train_performance_singlemodelTrue,0.9998687647523047,DecisionTreeClassifier,7592,6
53,test_performance_singlemodelTrue,0.7766665327065797,DecisionTreeClassifier,7592,6
54,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,6
55,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,6
56,train_performance_singlemodelTrue,0.7958857590976933,HistGradientBoostingClassifier,7592,7
57,test_performance_singlemodelTrue,0.8075013757102223,HistGradientBoostingClassifier,7592,7
58,train_performance_singlemodelTrue,0.999359138478239,RandomForestClassifier,7592,7
59,test_performance_singlemodelTrue,0.7813197373574046,RandomForestClassifier,7592,7
60,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,7592,7
61,test_performance_singlemodelTrue,0.7790331172534679,DecisionTreeClassifier,7592,7
62,train_performance_singlemodelTrue,0.700314771505608,LinearDiscriminantAnalysis,7592,7
63,test_performance_singlemodelTrue,0.7052281628406842,LinearDiscriminantAnalysis,7592,7
64,train_performance_singlemodelTrue,0.7965006249113227,HistGradientBoostingClassifier,7592,8
65,test_performance_singlemodelTrue,0.8065582293440094,HistGradientBoostingClassifier,7592,8
66,train_performance_singlemodelTrue,0.999359138478239,RandomForestClassifier,7592,8
67,test_performance_singlemodelTrue,0.7836439448656205,RandomForestClassifier,7592,8
68,train_performance_singlemodelTrue,0.9998687647523047,DecisionTreeClassifier,7592,8
69,test_performance_singlemodelTrue,0.7761363613401966,DecisionTreeClassifier,7592,8
