,hue,performance,model,dataset_name,level
0,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,0
1,test_performance_singlemodelTrue,0.7859280348384465,HistGradientBoostingClassifier,53,0
2,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,0
3,test_performance_singlemodelTrue,0.7434465050687811,RandomForestClassifier,53,0
4,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,0
5,test_performance_singlemodelTrue,0.7545375125278273,DecisionTreeClassifier,53,0
6,train_performance_singlemodelTrue,0.7998620621878663,LinearDiscriminantAnalysis,53,0
7,test_performance_singlemodelTrue,0.7903302911777488,LinearDiscriminantAnalysis,53,0
8,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,1
9,test_performance_singlemodelTrue,0.775562976168303,HistGradientBoostingClassifier,53,1
10,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,1
11,test_performance_singlemodelTrue,0.7455108249297111,RandomForestClassifier,53,1
12,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,1
13,test_performance_singlemodelTrue,0.7518909258618702,DecisionTreeClassifier,53,1
14,train_performance_singlemodelTrue,0.7907282581821294,LinearDiscriminantAnalysis,53,1
15,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,1
16,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,2
17,test_performance_singlemodelTrue,0.7480749274938137,HistGradientBoostingClassifier,53,2
18,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,2
19,test_performance_singlemodelTrue,0.7456194733434443,RandomForestClassifier,53,2
20,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,2
21,test_performance_singlemodelTrue,0.6990966660458185,DecisionTreeClassifier,53,2
22,train_performance_singlemodelTrue,0.792362245110234,LinearDiscriminantAnalysis,53,2
23,test_performance_singlemodelTrue,0.7800738809213386,LinearDiscriminantAnalysis,53,2
24,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,3
25,test_performance_singlemodelTrue,0.7927294255381423,HistGradientBoostingClassifier,53,3
26,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,3
27,test_performance_singlemodelTrue,0.7392092169331879,RandomForestClassifier,53,3
28,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,3
29,test_performance_singlemodelTrue,0.7583535108958838,DecisionTreeClassifier,53,3
30,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,3
31,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,3
32,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,4
33,test_performance_singlemodelTrue,0.771434336446443,HistGradientBoostingClassifier,53,4
34,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,4
35,test_performance_singlemodelTrue,0.7669145624351436,RandomForestClassifier,53,4
36,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,4
37,test_performance_singlemodelTrue,0.7357502062102546,DecisionTreeClassifier,53,4
38,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,4
39,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,4
40,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,5
41,test_performance_singlemodelTrue,0.7927294255381423,HistGradientBoostingClassifier,53,5
42,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,5
43,test_performance_singlemodelTrue,0.7306259922482683,RandomForestClassifier,53,5
44,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,5
45,test_performance_singlemodelTrue,0.7481272561175709,DecisionTreeClassifier,53,5
46,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,5
47,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,5
48,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,6
49,test_performance_singlemodelTrue,0.769370016585513,HistGradientBoostingClassifier,53,6
50,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,6
51,test_performance_singlemodelTrue,0.7669145624351436,RandomForestClassifier,53,6
52,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,6
53,test_performance_singlemodelTrue,0.7255461245776016,DecisionTreeClassifier,53,6
54,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,6
55,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,6
56,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,7
57,test_performance_singlemodelTrue,0.790556457263479,HistGradientBoostingClassifier,53,7
58,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,7
59,test_performance_singlemodelTrue,0.7434465050687811,RandomForestClassifier,53,7
60,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,7
61,test_performance_singlemodelTrue,0.7289186600324615,DecisionTreeClassifier,53,7
62,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,7
63,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,7
64,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,8
65,test_performance_singlemodelTrue,0.7778445928566994,HistGradientBoostingClassifier,53,8
66,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,8
67,test_performance_singlemodelTrue,0.7584399861639571,RandomForestClassifier,53,8
68,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,8
69,test_performance_singlemodelTrue,0.729892061126928,DecisionTreeClassifier,53,8
70,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,8
71,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,8
72,train_performance_singlemodelTrue,1.0,HistGradientBoostingClassifier,53,9
73,test_performance_singlemodelTrue,0.7863191691278858,HistGradientBoostingClassifier,53,9
74,train_performance_singlemodelTrue,1.0,RandomForestClassifier,53,9
75,test_performance_singlemodelTrue,0.7392092169331879,RandomForestClassifier,53,9
76,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,53,9
77,test_performance_singlemodelTrue,0.721752299355205,DecisionTreeClassifier,53,9
78,train_performance_singlemodelTrue,0.7877008929959145,LinearDiscriminantAnalysis,53,9
79,test_performance_singlemodelTrue,0.7839200347674924,LinearDiscriminantAnalysis,53,9
80,train_performance_singlemodelFalse,1.0,HistGradientBoostingClassifier,53,0
81,test_performance_singlemodelFalse,0.7859280348384465,HistGradientBoostingClassifier,53,0
82,train_performance_singlemodelFalse,1.0,RandomForestClassifier,53,0
83,test_performance_singlemodelFalse,0.7434465050687811,RandomForestClassifier,53,0
84,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,53,0
85,test_performance_singlemodelFalse,0.7545375125278273,DecisionTreeClassifier,53,0
86,train_performance_singlemodelFalse,0.7998620621878663,LinearDiscriminantAnalysis,53,0
87,test_performance_singlemodelFalse,0.7903302911777488,LinearDiscriminantAnalysis,53,0
88,train_performance_singlemodelFalse,1.0,HistGradientBoostingClassifier,53,1
89,test_performance_singlemodelFalse,0.8050501556554825,HistGradientBoostingClassifier,53,1
90,train_performance_singlemodelFalse,1.0,RandomForestClassifier,53,1
91,test_performance_singlemodelFalse,0.7966842277980292,RandomForestClassifier,53,1
92,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,53,1
93,test_performance_singlemodelFalse,0.8001654116666224,DecisionTreeClassifier,53,1
94,train_performance_singlemodelFalse,0.8249547476364757,LinearDiscriminantAnalysis,53,1
95,test_performance_singlemodelFalse,0.7907737540909453,LinearDiscriminantAnalysis,53,1
96,train_performance_singlemodelFalse,1.0,HistGradientBoostingClassifier,53,2
97,test_performance_singlemodelFalse,0.7564408553512669,HistGradientBoostingClassifier,53,2
98,train_performance_singlemodelFalse,1.0,RandomForestClassifier,53,2
99,test_performance_singlemodelFalse,0.7666972656076773,RandomForestClassifier,53,2
100,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,53,2
101,test_performance_singlemodelFalse,0.8002306007148622,DecisionTreeClassifier,53,2
102,train_performance_singlemodelFalse,0.820209007336502,LinearDiscriminantAnalysis,53,2
103,test_performance_singlemodelFalse,0.7965755793842961,LinearDiscriminantAnalysis,53,2
104,train_performance_singlemodelFalse,1.0,HistGradientBoostingClassifier,53,3
105,test_performance_singlemodelFalse,0.7987485476589593,HistGradientBoostingClassifier,53,3
106,train_performance_singlemodelFalse,0.996888246628131,RandomForestClassifier,53,3
107,test_performance_singlemodelFalse,0.7838637149775164,RandomForestClassifier,53,3
108,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,53,3
109,test_performance_singlemodelFalse,0.7481272561175709,DecisionTreeClassifier,53,3
110,train_performance_singlemodelFalse,0.8229619889710964,LinearDiscriminantAnalysis,53,3
111,test_performance_singlemodelFalse,0.7860366832521796,LinearDiscriminantAnalysis,53,3
112,train_performance_singlemodelFalse,1.0,HistGradientBoostingClassifier,53,4
113,test_performance_singlemodelFalse,0.7582226893364908,HistGradientBoostingClassifier,53,4
114,train_performance_singlemodelFalse,0.9985549132947977,RandomForestClassifier,53,4
115,test_performance_singlemodelFalse,0.7476837932043743,RandomForestClassifier,53,4
116,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,53,4
117,test_performance_singlemodelFalse,0.732486319169128,DecisionTreeClassifier,53,4
